season,week,player_id,player_name,position,recent_team,passing_yards,passing_tds,completions,attempts,interceptions,sacks,rushing_yards,carries,rushing_tds,rushing_first_downs,receiving_yards,receptions,targets,receiving_tds,receiving_first_downs,fantasy_points,fantasy_points_ppr
2020,1,00-0019596,T.Brady,QB,TB,239.0,2,23,36,2.0,3.0,9.0,3,1,2.0,0.0,0,0,0,0.0,20.46,20.46
2020,1,00-0020531,D.Brees,QB,NO,160.0,2,18,30,0.0,1.0,0.0,2,0,0.0,0.0,0,0,0,0.0,14.4,14.4
2020,1,00-0022127,J.Witten,TE,LV,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,2.0,1,1,0,0.0,0.2,1.2
2020,1,00-0022921,L.Fitzgerald,WR,ARI,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,34.0,4,5,0,2.0,3.4,7.4
2020,1,00-0022924,B.Roethlisberger,QB,PIT,229.0,3,21,32,0.0,2.0,9.0,3,0,1.0,0.0,0,0,0,0.0,22.06,22.06
2020,1,00-0022942,P.Rivers,QB,IND,363.0,1,36,46,2.0,0.0,3.0,1,0,0.0,0.0,0,0,0,0.0,14.82,14.82
2020,1,00-0023459,A.Rodgers,QB,GB,364.0,4,32,44,0.0,0.0,2.0,1,0,1.0,0.0,0,0,0,0.0,30.76,30.76
2020,1,00-0023500,F.Gore,RB,NYJ,0.0,0,0,0,0.0,0.0,24.0,6,0,1.0,0.0,0,0,0,0.0,2.4,2.4
2020,1,00-0023682,R.Fitzpatrick,QB,MIA,191.0,0,20,30,3.0,1.0,18.0,5,0,2.0,0.0,0,0,0,0.0,5.44,5.44
2020,1,00-0025394,A.Peterson,RB,DET,0.0,0,0,0,0.0,0.0,93.0,14,0,5.0,21.0,3,3,0,0.0,11.4,14.4
2020,1,00-0025396,T.Ginn,WR,CHI,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,0,0.0,0.0,0.0
2020,1,00-0025418,G.Olsen,TE,SEA,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,24.0,4,4,1,2.0,8.4,12.4
2020,1,00-0026035,D.Amendola,WR,DET,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,81.0,5,7,0,4.0,8.1,13.1
2020,1,00-0026143,M.Ryan,QB,ATL,450.0,2,37,54,1.0,2.0,-1.0,1,0,0.0,0.0,0,0,0,0.0,23.9,23.9
2020,1,00-0026189,D.Jackson,WR,PHI,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,46.0,2,7,0,2.0,4.6,6.6
2020,1,00-0026498,M.Stafford,QB,DET,297.0,1,24,42,1.0,1.0,23.0,5,0,1.0,0.0,0,0,0,0.0,16.18,16.18
2020,1,00-0027029,L.McCoy,RB,TB,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,2.0,1,1,0,0.0,0.2,1.2
2020,1,00-0027061,J.Cook,TE,NO,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,80.0,5,7,0,3.0,8.0,13.0
2020,1,00-0027150,J.Edelman,WR,NE,0.0,0,0,0,0.0,0.0,23.0,1,0,1.0,57.0,5,7,0,4.0,8.0,13.0
2020,1,00-0027656,R.Gronkowski,TE,TB,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,11.0,2,3,0,0.0,1.1,3.1
2020,1,00-0027685,E.Sanders,WR,NO,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,15.0,3,5,1,2.0,7.5,10.5
2020,1,00-0027696,J.Graham,TE,CHI,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,25.0,3,7,1,2.0,8.5,11.5
2020,1,00-0027939,C.Newton,QB,NE,155.0,0,15,19,0.0,2.0,75.0,15,2,8.0,0.0,0,0,0,0.0,25.7,25.7
2020,1,00-0027942,A.Green,WR,CIN,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,51.0,5,9,0,4.0,5.1,10.1
2020,1,00-0027944,J.Jones,WR,ATL,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,157.0,9,12,0,6.0,15.7,24.7
2020,1,00-0027966,M.Ingram,RB,BAL,0.0,0,0,0,0.0,0.0,29.0,10,0,1.0,0.0,0,0,0,0.0,2.9,2.9
2020,1,00-0027981,K.Rudolph,TE,MIN,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,28.0,2,2,0,1.0,2.8,4.8
2020,1,00-0028002,R.Cobb,WR,HOU,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,23.0,2,3,0,1.0,2.3,4.3
2020,1,00-0028042,L.Stocker,TE,ATL,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,1,0,0.0,0.0,0.0
2020,1,00-0028074,A.Sherman,RB,KC,0.0,0,0,0,0.0,0.0,2.0,1,0,1.0,0.0,0,0,0,0.0,0.2,0.2
2020,1,00-0028087,D.Lewis,RB,NYG,0.0,0,0,0,0.0,0.0,1.0,1,0,0.0,0.0,0,1,0,0.0,0.1,0.1
