name,team,salary
Kyler Murray,ARI,37000000
Maxx Crosby,LV,24500000
Matthew Stafford,LAR,23500000
Tee Higgins,CIN,21816000
T.J. Watt,PIT,21050000
Montez Sweat,CHI,20900000
Chris Godwin,TB,20000000
Quenton Nelson,IND,19000000
Keenan Allen,CHI,18100000
Laremy Tunsil,HOU,18000000
Harold Landry,TEN,17250000
Jeffery Simmons,TEN,16500000
Garett Bolles,DEN,15750000
Jake Matthews,ATL,15500000
Joe Thuney,KC,15500000
Vita Vea,TB,15500000
Grady Jarrett,ATL,15250000
Terry McLaurin,WAS,15150000
Cooper Kupp,LAR,15000000
Daron Payne,WAS,15000000
Tremaine Edmunds,CHI,14900000
Trey Hendrickson,CIN,14800000
Christian Kirk,JAX,14500000
Minkah Fitzpatrick,PIT,14500000
Brian O'Neill,MIN,14400000
Quinnen Williams,NYJ,14400000
Lamar Jackson,BAL,14250000
Budda Baker,ARI,14200000
Jonathan Allen,WAS,14000000
Geno Smith,SEA,12700000
Charvarius Ward,SF,12560000
Kirk Cousins,ATL,12500000
Kolton Miller,LV,12256500
Derwin James,LAC,12041667
Jamel Dean,TB,12000000
Marcus Williams,BAL,12000000
Marlon Humphrey,BAL,11750000
Braden Smith,IND,11683000
Jawaan Taylor,KC,11500000
Ryan Kelly,IND,11375000
Trevon Diggs,DAL,11000000
Joe Burrow,CIN,10714000
D.J. Reed,NYJ,10500000
Kaleb McGary,ATL,10500000
Kenny Clark,GB,10050000
Allen Lazard,NYJ,10000000
Andrew Thomas,NYG,10000000
DeMarcus Lawrence,DAL,10000000
Justin Reid,KC,9990000
Cole Kmet,CHI,9900000
Patrick Mahomes,KC,9850000
D.J. Jones,DEN,9490000
Haason Reddick,NYJ,8708333
Byron Murphy,MIN,8300000
Jalen Thompson,ARI,8300000
James Daniels,PIT,8250000
Dre Greenlaw,SF,8100000
Brandin Cooks,DAL,8000000
Brian Burns,NYG,8000000
Danielle Hunter,HOU,8000000
Joey Bosa,LAC,8000000
Jonah Jackson,LAR,8000000
Jonathan Jones,NE,8000000
Michael Pittman Jr.,IND,8000000
DeMarcus Walker,CHI,7950000
Frank Ragnow,DET,7900000
Jaylon Johnson,CHI,7900000
Isaac Seumalo,PIT,7875000
Jonathan Taylor,IND,7804000
Sam Hubbard,CIN,7800000
B.J. Hill,CIN,7200000
Kevin Dotson,LAR,7000000
Mark Andrews,BAL,7000000
Charles Omenihu,KC,6740000
Jaire Alexander,GB,6650000
Amani Hooker,TEN,6550000
Andrew Wylie,WAS,6500000
Matt Judon,ATL,6500000
Rob Havenstein,LAR,6500000
Kaden Elliss,ATL,6410000
Taylor Moton,CAR,6300000
Robert Woods,HOU,6250000
Trey Pipkins,LAC,6250000
Alex Anzalone,DET,6000000
Alex Cappa,CIN,6000000
Bradley Chubb,MIA,6000000
Dexter Lawrence,NYG,6000000
Justin Herbert,LAC,6000000
T.J. Edwards,CHI,5900000
Gardner Minshew,LV,5840000
Mike Hilton,CIN,5750000
Travis Kelce,KC,5750000
Adam Thielen,CAR,5500000
Donovan Wilson,DAL,5500000
Morgan Moses,NYJ,5500000
Alex Singleton,DEN,5490000
Sheldon Rankins,CIN,5450000
Mo Alie-Cox,IND,5410000
Christian Wilkins,LV,5000000
Dalton Schultz,HOU,5000000
Foyesade Oluokun,JAX,5000000
Jakobi Meyers,LV,5000000
Joseph Noteboom,LAR,5000000
Kyzir White,ARI,5000000
Larry Ogunjobi,PIT,5000000
Talanoa Hufanga,SF,4890000
Alvin Kamara,NO,4710000
Josh Oliver,MIN,4700000
Tyler Lockett,SEA,4660000
Garrett Bradbury,MIN,4650000
Jack Conklin,CLE,4500000
Orlando Brown Jr.,CIN,4500000
Calvin Ridley,TEN,4490000
Grover Stewart,IND,4490000
Jarrett Stidham,DEN,4490000
Samson Ebukam,IND,4425000
Xavier Woods,CAR,4400000
Kevin Byard,CHI,4390000
Patrick Mekari,BAL,4350000
Alaric Jackson,LAR,4346667
L'Jarius Sneed,TEN,4320000
Kenny Moore,IND,4240000
James Conner,ARI,4235000
Matt Milano,BUF,4125000
Bobby Wagner,WAS,4060000
Gerald Everett,CHI,4060000
Austin Corbett,CAR,4050000
Miles Sanders,CAR,4020000
Andre James,LV,4000000
Andy Dalton,CAR,4000000
Anthony Nelson,TB,4000000
Antoine Winfield Jr.,TB,4000000
Deatrich Wise,NE,4000000
Lavonte David,TB,4000000
Nate Herbig,PIT,4000000
Patrick Ricard,BAL,4000000
Ted Karras,CIN,4000000
Younghoe Koo,ATL,4000000
Chidobe Awuzie,TEN,3990000
Jarran Reed,SEA,3960000
Matt Gay,IND,3920000
D'Andre Swift,CHI,3890000
Daniel Carlson,LV,3850000
Jason Sanders,MIA,3775000
Jon Runyan,NYG,3750000
Lorenzo Carter,ATL,3750000
Sean Bunting,ARI,3695000
Jason Myers,SEA,3635000
Darious Williams,LAR,3500000
E.J. Speed,IND,3500000
Elandon Roberts,PIT,3500000
Elgton Jenkins,GB,3500000
Jordan Love,GB,3500000
Logan Wilson,CIN,3500000
Marquise Brown,KC,3500000
Matt Prater,ARI,3500000
Foster Moreau,NO,3420000
Ryan Bates,CHI,3400000
Asante Samuel Jr.,LAC,3366000
Dan Moore,PIT,3366000
Jevon Holland,MIA,3366000
Liam Eichenberg,MIA,3366000
Nate Hobbs,LV,3366000
Paulson Adebo,NO,3366000
Trevon Moehrig,LV,3366000
Trey Smith,KC,3366000
A.J. Terrell,ATL,3344000
Germaine Pratt,CIN,3200000
Jabrill Peppers,NE,3180000
Aaron Rodgers,NYJ,3161112
Jamaal Williams,NO,3150000
Will Hernandez,ARI,3150000
Chris Boswell,PIT,3120000
Andre Cisco,JAX,3116000
Benjamin St-Juste,WAS,3116000
Brandon Stephens,BAL,3116000
Camryn Bynum,MIN,3116000
Darrell Taylor,CHI,3116000
Darrick Forrest,WAS,3116000
Derrick Barnes,DET,3116000
Divine Deablo,LV,3116000
Drew Dalman,ATL,3116000
Elijah Molden,LAC,3116000
Elijah Moore,CLE,3116000
Jason Pinnock,NYG,3116000
John Bates,WAS,3116000
Josh Myers,GB,3116000
Josh Palmer,LAC,3116000
Kylen Granson,IND,3116000
Larry Borom,CHI,3116000
Milton Williams,PHI,3116000
Osa Odighizuwa,DAL,3116000
Rhamondre Stevenson,NE,3116000
Richie Grant,ATL,3116000
Robert Hainsey,TB,3116000
